ورزشی			0.6129303367128318
تیم			0.5162944540488508
اجتماعی			0.29706615916497703
سیاسی			0.2931431480567692
فوتبال			0.2838688444135211
اقتصادی			0.26786328042628327
بازی			0.22525103297896942
جام			0.22335868577400309
قهرمانی			0.1977388931433175
اسلامی			0.17769604337959577
بازیکن			0.15718056964396032
مجلس			0.143249505976333
بازیکنان			0.1421641257411803
فدراسیون			0.13573825543152473
مسابقات			0.1355804055444536
شورای			0.1343022658478894
مسابقه			0.1308544931417277
دلار			0.12648387921220383
آسیا			0.12195741903098223
مردم			0.12145026470020048
سرمایه			0.1179510528146841
گذاری			0.11774725368029992
قیمت			0.11728426520212865
تولید			0.1172768051796318
باشگاههای			0.11403903058446252
بازار			0.11275977068096688
صنایع			0.11220190939467933
بازیهای			0.1121828363819728
جمهوری			0.11035615828542289
رقابت			0.10980967868905478
دادگاه			0.10592084031748428
گروه			0.09983172313975897
مربی			0.09666019957812111
میلیارد			0.0944313778810093
حریف			0.09220218832366589
شکست			0.09135722225372445
باشگاه			0.09132937112972028
قهرمان			0.0896800305118659
انقلاب			0.08827303319873825
ریال			0.08762679307621335
آیت			0.08694672376655754
ارزی			0.08667044496584753
انتخابات			0.08625864337402245
صنعتی			0.08557666623287519
توسعه			0.08518217317906984
نظام			0.08424955273382828
معظم			0.08381942905292972
نفت			0.08319170814821808
افزایش			0.08305971361951658
هنری			0.08297002684866284
آقای			0.08281646746096882
وزیر			0.08277885003861374
درصد			0.08094015444243796
دولت			0.08051309844010457
خاتمی			0.0789111410611536
صادرات			0.07852070616756013
گل			0.07751646060245942
پرسپولیس			0.07737154907098631
فیلم			0.07735846367946886
تیمی			0.07710554113699075
مربیان			0.07688326868291417
دیدار			0.07664227514397881
روزنامه			0.07646939044592194
ورزشگاه			0.07584610386810198
تولیدی			0.07503939354573985
جامعه			0.07383256162326957
تاکید			0.0722511507590855
مطبوعات			0.0713147181425724
ایرنا			0.06998494456043991
گزارش			0.06917594521709525
ارز			0.06877181490173534
رئیس			0.06871944381796258
پتروشیمی			0.06869772351113079
مصاف			0.06820026889672848
قانون			0.06809608020597513
المپیک			0.06726506769696083
سهام			0.06607229965455863
خانواده			0.06522702683158954
لیگ			0.06512813575850629
الاسلام			0.06450705167402582
اسلام			0.06445345385841605
رهبری			0.06401556052515422
فروش			0.06379796021897777
والیبال			0.06341337329670571
میلیون			0.06329769622211368
گفت			0.06276725953415752
الله			0.06234416659432718
سرمربی			0.06224195252282305
صنعت			0.06211232147369339
وزارت			0.0619390408723508
حجت			0.061684062057502764
میزان			0.06147407465308374
پیروزی			0.060629305002469325
اقتصاد			0.06038123856927058
پرونده			0.060281676407548446
او			0.060208268418607824
زندگی			0.06010913010347596
رسیدگی			0.05977603194457659
هزار			0.058736693482579705
ورزش			0.05744447770933325
